# Ten-channel resonant ladder, W/L = 1000, L = 1 um, VDD = 5 V
# SMALL-SIGNAL run: drive 0.03 V RMS, chosen to keep the cross-coupled pairs
# linear.  At 1 V RMS the pairs intermodulate and, because the channel ladder
# is arithmetic, every sum of two channels lands on another channel.
# Excitation: white noise, new value every 0.5 ns (flat well past 200 MHz)
# Uniform sampling 500 ps (ngspice 'linearize'), 190 us total
# vin  = v(n05) - v(actm)   vout = v(actp) - v(actm)
#
# time[s]            vin[V]               vout[V]
1.855000000e-07 -1.376487640e-03 -1.777864360e-02
1.860000000e-07 4.002267780e-02 -6.843337650e-03
1.865000000e-07 -4.860304410e-02 -6.706003190e-03
1.870000000e-07 3.075369930e-02 -6.773426460e-03
1.875000000e-07 2.771154850e-03 -2.613365780e-04
1.880000000e-07 4.285414510e-02 6.606530190e-03
1.885000000e-07 -1.697933090e-02 7.941898830e-03
1.890000000e-07 -1.844755480e-02 5.807211420e-04
1.895000000e-07 9.928247820e-03 -6.233304440e-04
1.900000000e-07 -1.281632000e-02 -1.007786410e-03
1.905000000e-07 -6.212284330e-02 -1.173769860e-02
1.910000000e-07 -2.452186500e-02 -2.040186350e-02
1.915000000e-07 4.703059830e-02 -1.075135130e-02
1.920000000e-07 -1.591307060e-02 -3.642802400e-03
1.925000000e-07 -1.260426390e-02 -6.640452990e-03
1.930000000e-07 4.211728710e-02 -1.666398160e-04
1.935000000e-07 5.524752000e-02 1.375995340e-02
1.940000000e-07 -1.656571490e-02 1.468584360e-02
1.945000000e-07 2.184853650e-02 1.140879520e-02
1.950000000e-07 -5.100784930e-02 3.403079790e-03
1.955000000e-07 -5.669966000e-02 -1.298447070e-02
1.960000000e-07 2.560564180e-02 -1.312130730e-02
1.965000000e-07 4.665790740e-03 -5.137728510e-03
1.970000000e-07 1.925530460e-02 -8.132926300e-05
1.975000000e-07 3.708155230e-03 3.149957340e-03
1.980000000e-07 -5.267923080e-02 -5.172175840e-03
1.985000000e-07 -3.381055320e-02 -1.594926550e-02
