topology,d_in_mm,d_out_mm,n,layers,awg,d_wire_mm,l_h,length_m,m_h,k,fom,eta_max,emf_per_sqrtw,r_dc,r_ac,r_skin,r_prox,prox_layers,skin_um,skin_limited,r_ratio,q,l_uh
solenoid,1,40.163718470603605,12,6,8,3.2636432058836338,2.039566131330534e-05,3.9172881780936804,1.0254925751258365e-08,0.0022562465139701854,3.581635789859895e-07,8.95408787113573e-08,0.012330619368731754,0.007866826542636794,5.826451394823581,0.07159880100917225,5.754852593814409,6,92.25496965451984,True,740.6355489402563,10.997235779553899,20.39566131330534
solenoid,1,53.21829129413814,12,8,8,3.2636432058836338,6.022777601271021e-05,7.191634107877022,1.4755362815555808e-08,0.0018891846280157834,2.2562126958507583e-07,5.64053110331502e-08,0.01032703844908929,0.014442475384160021,19.14874232586808,0.131446132122769,19.017296193745313,8,92.25496965451984,True,1325.8629020666165,9.881126156675897,60.22777601271021
solenoid,1,79.32743694120721,12,12,8,3.2636432058836338,0.00026007926410636484,16.69320077307188,2.3271797753768114e-08,0.0014338376957799155,1.069309973767601e-07,2.6732747914910347e-08,0.007256738774111757,0.03352383305817293,100.50247540771886,0.3051123905157715,100.19736301720309,12,92.25496965451984,True,2997.9410538562174,8.129780904927271,260.07926410636486
pancake,1,131.54572823534536,20,1,8,3.2636432058836338,2.7593724307872653e-05,4.164046860888702,7.418312835216223e-09,0.0014032107628356603,1.5641843728733836e-08,3.910460901600051e-09,0.0027694612294973777,0.008362375419100267,69.81405332976667,0.07610896850859887,69.73794436125807,20,92.25496965451984,True,8348.591139582939,1.2417018843086354,27.59372430787265
solenoid,1,7.5272864117672675,20,1,8,3.2636432058836338,5.0547996799245584e-09,0.06283185307179587,4.344347595368209e-10,0.0060714932334558274,3.2611407617991175e-06,8.152838610726056e-07,0.0013640340329600657,0.00012618098720242743,0.0011484182783086216,0.0011484182783086216,0.0,1,92.25496965451984,True,9.101357532306011,13.82782026354292,0.005054799679924558
solenoid,1,14.054572823534533,20,2,8,3.2636432058836338,3.441257251130923e-07,0.5357852069252823,1.864347454781215e-09,0.0031578479004459167,8.927278103515473e-07,2.231818529675745e-07,0.005643083072892242,0.0010759814175946387,0.07726007983308121,0.009792891579646268,0.06746718825343494,2,92.25496965451984,True,71.80428822441604,13.993033041931247,0.3441257251130923
solenoid,1,27.10914564706907,20,4,8,3.2636432058836338,7.82016695494012e-06,2.7120564169773265,6.044522315109362e-09,0.0021477162170945685,4.1261573886030436e-07,1.0315391343361308e-07,0.011436283017985998,0.0054464406079484115,1.7571089430458229,0.049570003251408624,1.7075389397944143,4,92.25496965451984,True,322.6160109928561,13.981932738273503,7.82016695494012
solenoid,1,40.163718470603605,20,6,8,3.2636432058836338,4.071547469580441e-05,6.528813630156135,1.0866909373709136e-08,0.0016921903639260795,2.4131244575570475e-07,6.032810415996523e-08,0.010431479994374361,0.013111377571061325,9.71075232470597,0.11933133501528712,9.591420989690683,6,92.25496965451984,True,740.6355489402563,13.172144846731355,40.71547469580441
solenoid,1,53.21829129413814,20,8,8,3.2636432058836338,0.00012457240346027814,11.986056846461704,1.588406890925877e-08,0.0014140792982567498,1.5687546589450382e-07,3.9218863397387275e-08,0.008697962655421219,0.024070792306933368,31.91457054311347,0.21907688687128166,31.69549365624219,8,92.25496965451984,True,1325.8629020666167,12.262604224053401,124.57240346027814
solenoid,1,79.32743694120721,20,12,8,3.2636432058836338,0.0005666686382676411,27.822001288453134,2.5884172879923188e-08,0.0010804200291570701,7.937131647375646e-08,1.984282833096342e-08,0.006264391551332765,0.05587305509695487,167.50412567953143,0.5085206508596192,166.9956050286718,12,92.25496965451984,True,2997.9410538562174,10.628048854195441,566.6686382676411
pancake,1,196.818592353018,30,1,8,3.2636432058836338,9.235075935867362e-05,9.321981547195731,8.72258891418493e-09,0.0009018786238067316,4.2899520772156e-09,1.0724880170034391e-09,0.0014586453075351355,0.018720708952573776,351.9320975482347,0.17038386543561598,351.7617136827991,30,92.25496965451984,True,18799.07958826794,0.8243876281130731,92.35075935867361
solenoid,1,7.5272864117672675,30,1,8,3.2636432058836338,7.729558057696127e-09,0.0942477796076938,4.388775831231529e-10,0.004960083533400398,2.218788725786329e-06,5.546965660695093e-07,0.0013775885655985755,0.00018927148080364112,0.0017226274174629323,0.0017226274174629323,0.0,1,92.25496965451984,True,9.101357532306011,14.096561196801263,0.0077295580576961275
solenoid,1,14.054572823534533,30,2,8,3.2636432058836338,5.37192364664144e-07,0.8036778103879235,1.889583837653478e-09,0.0025616758480934486,6.113732433270059e-07,1.5284326410961402e-07,0.005619598943004483,0.001613972126391958,0.11589011974962181,0.014689337369469401,0.10120078238015241,2,92.25496965451984,True,71.80428822441603,14.562411274054373,0.537192364664144
solenoid,1,27.10914564706907,30,4,8,3.2636432058836338,1.2645426665747328e-05,4.06808462546599,6.161928465950496e-09,0.0017217608653228192,2.8586689513595796e-07,7.146671356900609e-08,0.010152539550024731,0.008169660911922618,2.635663414568735,0.07435500487711294,2.561308409691622,4,92.25496965451984,True,322.61601099285616,15.072781788079961,12.645426665747328
solenoid,1,40.163718470603605,30,6,8,3.2636432058836338,6.777510986257078e-05,9.793220445234201,1.1144293799759386e-08,0.0013450559859543962,1.6919264422028585e-07,4.229815747680299e-08,0.008873850754259621,0.019667066356591986,14.566128487058954,0.17899700252293063,14.387131484536024,6,92.25496965451984,True,740.6355489402563,14.61759639355512,67.77510986257077
solenoid,1,53.21829129413814,30,8,8,3.2636432058836338,0.00021246158832937613,17.979085269692554,1.6397863317046667e-08,0.0011178151047988077,1.1145890412939111e-07,2.786472447946198e-08,0.007368985794951429,0.036106188460400056,47.87185581467021,0.3286153303069225,47.54324048436329,8,92.25496965451984,True,1325.8629020666167,13.942801124101043,212.46158832937613
solenoid,1,79.32743694120721,30,12,8,3.2636432058836338,0.0010043151294088651,41.7330019326797,2.712843144974803e-08,0.0008505749826665283,5.812368074781972e-08,1.4530919764659662e-08,0.005366036739303869,0.08380958264543231,251.25618851929713,0.7627809762894286,250.4934075430077,12,92.25496965451984,True,2997.9410538562174,12.557497791532603,1004.3151294088651
pancake,1,327.36432058836334,50,1,8,3.2636432058836338,0.0004246750502642146,25.78967343153515,1.037545733657475e-08,0.0005002669349561396,7.895262979566607e-10,1.9738157441124617e-10,0.0006265311611279566,0.05179166766736756,2705.63000151503,0.4713744846350856,2705.158627030395,50,92.25496965451984,True,52240.642624059954,0.4931036458517484,424.67505026421463
solenoid,1,7.5272864117672675,50,1,8,3.2636432058836338,1.3086056687520745e-08,0.15707963267948966,4.4228454517210064e-10,0.003841672060249741,1.3520225389485934e-06,3.380054062417232e-07,0.0013874875354178676,0.0003154524680060685,0.0028710456957715532,0.0028710456957715532,0.0,1,92.25496965451984,True,9.101357532306013,14.319193739940365,0.013086056687520746
solenoid,1,14.054572823534533,50,2,8,3.2636432058836338,9.254458106817781e-07,1.3394630173132058,1.908644853445996e-09,0.001971390014428521,3.7426188304482236e-07,9.356545325221505e-08,0.005489432373187912,0.002689953543986597,0.193150199582703,0.02448222894911567,0.16866797063358732,2,92.25496965451984,True,71.80428822441603,15.052398425756977,0.9254458106817781
